"","Participant.Private.ID","Binoc_single","Mono_single"
"1",4332728,3696,3051
"2",4333147,6164.30000001192,27092.875
"3",4333569,8387.375,9314.70000004767
"4",4333590,15076.6000000001,5414.59999999997
"5",4334401,22668.8000000318,5159.99999976158
"6",4334877,13060.6500000656,9410.42500001194
"7",4336146,4770.14999999665,4092.92500000261
"8",4336342,5685,15788.25
"9",4339358,13964.3750000149,6139.04999998211
"10",4354253,3400.62499999953,11581
"11",4372219,3574.625,8003.52499999851
"12",4373538,4895.77500002086,11326.0500000119
"13",4379880,7123.5,6536.25
"14",4381159,12421.2875000085,15320.0287500222
"15",4384320,4520.27500003576,15424.7249999941
"16",4392148,12541.049999997,5281.89999999851
"17",4404605,9193.97499999986,7596.00000000007
"18",4408537,7344.6250000596,12377.4750000238
"19",4424285,8727.42500000448,7851.67500000446
"20",4429865,4934.31749998126,4930.55124999955
"21",4443776,2947.875,5786.70000004767
"22",4445309,10996.3750000298,30699.4000000357
"23",4447916,26902.6750000001,23526.5749999999
"24",4447985,7157.75000005962,22451.3000000119
"25",4448050,18932.6666666667,21121
"26",4449101,31127.775000006,4268.36666666468
"27",4449137,7637.25000005961,7444.02500003575
"28",4449369,10509.8249999285,20790.8499999642
"29",4449420,20756.6750000119,9522.02499999851
"30",4449574,4606.44999992847,5677.35000002384
"31",4449717,8029.64999999479,NA
"32",4450348,3586.54999995232,3602.15000003576
"33",4450899,22350.5749999285,13913.9249999523
"34",4452039,16481.7250000001,11582.1
"35",4452506,13601.5,23703.25
"36",4454520,12560.1999999997,11877.7666666663
"37",4460944,7663.20000000298,27293.899999991
"38",4469128,26926.6725000016,39931.0712499937
"39",4472380,19254.0999999841,27529.5499999821
"40",4475413,24313.0999999978,23953.5
"41",4476704,33619,17765.25
"42",4482002,16601,10366
"43",4488838,3928.87500000372,17119.8000000007
"44",4489139,3314.97500002384,15329.8999999762
"45",4491824,71000.7666666682,NA
"46",4494914,23761.3749999963,26503.1999999992
"47",4495135,6914.07500004769,6628.80000019074
"48",4495599,7159.23333333929,20617.8333333383
